Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Antigen processing and presentation	38/78	1.47994019404858e-23	4.26222775885991e-21	0	0	12.9151282051282	678.915426700446	CIITA;KIR2DL1;TNF;KIR2DL3;HLA-DMA;HLA-DMB;HLA-DOA;B2M;HLA-DQA1;HLA-DPA1;PDIA3;CD74;HSP90AA1;HLA-DRB5;HSPA5;KLRC3;KLRC4;HSPA6;HLA-B;HLA-C;TAP1;KIR3DL1;HLA-A;KIR3DL2;HLA-F;HLA-E;TAPBP;CD8B;IFNG;CD8A;PSME1;HLA-DPB1;PSME2;HLA-DRA;KLRD1;CALR;HLA-DRB1;HLA-DQB1
Graft-versus-host disease	26/42	4.43051561731733e-20	6.37994248893695e-18	0	0	21.9274691358025	977.157883205343	CD86;PRF1;FASLG;KIR2DL1;KIR2DL3;TNF;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DPA1;HLA-DRB5;HLA-B;GZMB;HLA-C;KIR3DL1;HLA-A;KIR3DL2;HLA-F;HLA-E;IFNG;HLA-DPB1;HLA-DRA;KLRD1;HLA-DRB1;HLA-DQB1
Natural killer cell mediated cytotoxicity	44/131	3.34416864708954e-19	3.21040190120596e-17	0	0	6.88843216360914	293.046982894113	ITGB2;PRF1;PIK3R3;FASLG;KIR2DL1;PIK3R1;ITGAL;TNF;KIR2DL3;PPP3CA;FCGR3A;KLRK1;FCGR3B;PPP3CC;CASP3;KLRC4-KLRK1;PLCG2;RAC2;MAPK1;PTK2B;FYN;BID;MAP2K2;PRKCB;KLRC3;IFNGR1;SH2D1A;HLA-B;HLA-C;NFATC2;GZMB;KIR3DL1;HLA-A;KIR3DL2;HLA-E;NCR1;IFNG;LCK;KLRD1;CD48;LCP2;PTPN6;HCST;CD244
Parkinson disease	61/249	2.74628750853181e-18	1.9773270061429e-16	0	0	4.45091876208897	179.978604759363	COX7B;NDUFA12;UBE2L6;PARK7;COX6A1;UBE2L3;PSMD8;PSMD7;PSMD4;CASP3;PRKACB;COX8A;DAXX;TUBB;SDHA;SDHB;TUBA4A;COX6B1;PSMA5;ERN1;PSMA6;PSMA3;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS3;SLC25A5;SLC25A4;NDUFB7;NDUFB10;NDUFB3;GNAI3;UQCR11;COX7A2;TXN;UQCR10;COX5B;COX5A;PSMA7;GNAI2;PSMB6;PSMB7;PSMB2;UBB;PSMB3;PSMB1;UBC;NDUFA6;HSPA5;NDUFA3;ADRM1;NDUFA2;NDUFA1;TUBB4A;UQCRQ;PSMC1;GNAS;CYCS;CALM1;CALM2
Human immunodeficiency virus 1 infection	53/212	1.80993690077465e-16	1.0425236548462e-14	0	0	4.55259259259259	165.022692722811	CD3G;FASLG;CD3E;CD3D;TNF;PPP3CA;GNGT2;PPP3CC;CASP8;CASP3;CFL1;RAC2;CCR5;B2M;PDIA3;MAP2K2;PRKCB;HLA-B;HLA-C;TAP1;HLA-A;HLA-F;HLA-E;RBX1;TAPBP;TNFRSF1A;IRF3;GNAI3;PIK3R3;CXCR4;PIK3R1;RNF7;GNAI2;GNG2;GNG5;PLCG2;PAK6;MAPK1;PTK2B;BID;APOBEC3C;APOBEC3D;APOBEC3F;APOBEC3G;APOBEC3H;NFATC2;CUL4A;WEE1;GNB2;CYCS;CALR;CALM1;CALM2
Allograft rejection	22/38	2.61578753084067e-16	1.25557801480352e-14	0	0	18.5002715423606	663.785974003637	CD86;IL10;HLA-DRB5;PRF1;HLA-B;GZMB;HLA-C;FASLG;HLA-A;HLA-F;TNF;HLA-E;HLA-DMA;HLA-DMB;IFNG;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Viral myocarditis	27/60	5.02177369530807e-16	2.06610117749818e-14	0	0	11.0383192389006	388.853255187739	CD86;ITGB2;PRF1;ITGAL;ACTB;ACTG1;HLA-DMA;CASP8;HLA-DMB;CASP3;RAC2;FYN;HLA-DOA;BID;HLA-DQA1;HLA-DPA1;HLA-DRB5;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;HLA-DPB1;CYCS;HLA-DRA;HLA-DRB1;HLA-DQB1
Human cytomegalovirus infection	54/225	6.28420893760971e-16	2.2623152175395e-14	0	0	4.3133705278764	150.982295417499	CCL4L2;FASLG;TNF;AKAP13;PPP3CA;GNGT2;PPP3CC;CASP8;CASP3;RAC2;CCR5;B2M;PRKACB;PDIA3;MAP2K2;PRKCB;HLA-B;HLA-C;TAP1;HLA-A;HLA-F;RHOA;HLA-E;TAPBP;TNFRSF1A;IRF3;ARHGEF1;ROCK1;CCL3L3;GNAI3;PIK3R3;CXCR4;PIK3R1;ADCY7;GNAI2;GNG2;GNG5;CCL5;CCL4;EIF4EBP1;CCL3;MAPK1;PTK2B;E2F3;BID;CDKN2A;IL10RA;NFATC2;GNB2;GNAS;CYCS;CALR;CALM1;CALM2
Prion disease	59/273	4.73796736367093e-15	1.5161495563747e-13	0	0	3.77098979194482	124.379190502996	COX7B;NDUFA12;COX6A1;TNF;PSMD8;PPP3CA;PSMD7;PPP3CC;PSMD4;CASP3;RAC2;PRKACB;COX8A;TUBB;CYBA;SDHA;SDHB;TUBA4A;COX6B1;PSMA5;PSMA6;PSMA3;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS3;SLC25A5;SLC25A4;NDUFB7;NDUFB10;NDUFB3;PIK3R3;UQCR11;COX7A2;PIK3R1;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;PSMB2;PSMB3;CCL5;PSMB1;MAPK1;FYN;NDUFA6;HSPA5;NDUFA3;HSPA6;ADRM1;NDUFA2;NDUFA1;TUBB4A;UQCRQ;PSMC1;CYCS
Human T-cell leukemia virus 1 infection	50/219	6.16224310479272e-14	1.7747260141803e-12	0	0	4.02961641235562	122.571866441329	ITGB2;SLC2A1;CD3G;CD3E;ITGAL;CD3D;TNF;PPP3CA;ZFP36;PPP3CC;PTTG1;HLA-DOA;B2M;PRKACB;HLA-DPA1;MAP2K2;IL15;HLA-B;HLA-C;HLA-A;HLA-F;TGFBR1;HLA-E;TGFBR2;TNFRSF1A;LCK;VDAC3;TBPL1;TLN1;SLC25A5;SLC25A4;MAD1L1;HLA-DQB1;PIK3R3;PIK3R1;ADCY7;ANAPC11;HLA-DMA;HLA-DMB;MAPK1;E2F3;HLA-DQA1;HLA-DRB5;CDKN2A;NFATC2;IL2RB;HLA-DPB1;HLA-DRA;CALR;HLA-DRB1
Type I diabetes mellitus	21/43	1.19055743708211e-13	3.11709583526954e-12	0	0	12.8297263517958	381.802194574948	CD86;HLA-DRB5;PRF1;HLA-B;GZMB;HLA-C;FASLG;HLA-A;HLA-F;TNF;HLA-E;HLA-DMA;HLA-DMB;IFNG;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Epstein-Barr virus infection	47/202	1.66213079562553e-13	3.98911390950126e-12	0	0	4.12396041488248	121.349621180736	HDAC1;PIK3R3;CD3G;PIK3R1;CD3E;ITGAL;CD3D;TNF;PSMD8;HLA-DMA;PSMD7;HLA-DMB;CASP8;PSMD4;CASP3;PLCG2;E2F3;CD58;BID;HLA-DOA;B2M;HLA-DQA1;HLA-DPA1;PDIA3;HLA-DRB5;ADRM1;HLA-B;HLA-C;TAP1;ISG15;HLA-A;HLA-F;RUNX3;HLA-E;TAPBP;NCOR2;IRF3;PSMC1;HLA-DPB1;CYCS;HLA-DRA;CALR;VIM;HLA-DRB1;CD44;HLA-DQB1;NFKBIB
Huntington disease	60/306	2.6760117686941e-13	5.92839530295309e-12	0	0	3.33272796614787	96.4800706193128	COX7B;HIP1;NDUFA12;CLTB;COX6A1;PSMD8;PSMD7;CASP8;PSMD4;CASP3;COX8A;TUBB;SDHA;SDHB;TUBA4A;COX6B1;PSMA5;ERN1;PSMA6;PSMA3;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS3;TBPL1;SLC25A5;SLC25A4;NDUFB7;NDUFB10;DCTN2;HDAC1;DCTN3;NDUFB3;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;PSMB2;PSMB3;PSMB1;AP2S1;POLR2F;POLR2I;POLR2L;NDUFA6;NDUFA3;ADRM1;NDUFA2;NDUFA1;AP2B1;TUBB4A;UQCRQ;PSMC1;CYCS;ACTR10
Proteasome	21/46	6.40538668952394e-13	1.31767954755921e-11	0	0	11.2883357452967	316.93658493515	POMP;ADRM1;PSMA7;PSMB10;PSMB8;PSMB9;PSMB6;PSMD8;PSMA5;PSMB7;PSMA6;PSMA3;PSMD7;PSMB2;PSMD4;IFNG;PSMB3;PSMC1;PSMB1;PSME1;PSME2
Amyotrophic lateral sclerosis	65/364	2.37542505490388e-12	4.55239337646396e-11	0	0	2.97296419055046	79.5738978941951	COX7B;NDUFA12;COX6A1;TNF;ACTB;ACTG1;PSMD8;PPP3CA;PSMD7;PPP3CC;PSMD4;CASP3;CASP1;RAB8A;COX8A;GABARAPL2;DAXX;GABARAPL1;TUBB;ANXA11;SDHA;SDHB;TUBA4A;COX6B1;TNFRSF1A;PSMA5;ERN1;PSMA6;PSMA3;NDUFS8;NDUFS7;NDUFS6;NDUFS3;PFN1;SRSF7;OPTN;NDUFB7;NDUFB10;DCTN2;DCTN3;NDUFB3;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;PSMB2;PSMB3;PSMB1;BID;NDUFA6;HSPA5;NDUFA3;ADRM1;NDUFA2;NDUFA1;TUBB4A;UQCRQ;PSMC1;HNRNPA2B1;CYCS;ACTR10
Influenza A	41/172	2.52910743136887e-12	4.55239337646396e-11	0	0	4.24334443061954	113.310682646205	CIITA;CALCOCO2;PIK3R3;FASLG;PLG;PIK3R1;TNF;ACTB;ACTG1;PYCARD;HLA-DMA;CASP8;HLA-DMB;CASP3;CCL5;CASP1;MAPK1;KPNA5;HLA-DOA;BID;PRSS2;HLA-DQA1;HLA-DPA1;HLA-DRB5;MAP2K2;PRKCB;IFNGR1;RAB11A;TNFRSF1A;RAB11B;IFNG;IRF3;HLA-DPB1;CYCS;HLA-DRA;SLC25A5;SLC25A4;HLA-DRB1;TLR3;NFKBIB;HLA-DQB1
Pathways of neurodegeneration	77/475	3.68863540847976e-12	6.24898233907159e-11	0	0	2.6552881299408	69.9024900794691	COX7B;HIP1;NDUFA12;ATP2A3;FASLG;UBE2L6;PARK7;COX6A1;TNF;UBE2L3;PSMD8;PPP3CA;CASP7;PSMD7;PPP3CC;CASP8;PSMD4;CASP3;CAPN2;RAB8A;COX8A;GABARAPL2;DAXX;GABARAPL1;MAP2K2;PRKCB;TUBB;SDHA;SDHB;TUBA4A;TNFRSF1A;COX6B1;PSMA5;ERN1;PSMA6;PSMA3;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS3;SLC25A5;SLC25A4;OPTN;NDUFB7;NDUFB10;DCTN2;NDUFB3;DCTN3;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;PSMB2;UBB;PSMB3;PSMB1;UBC;MAPK1;BID;NDUFA6;HSPA5;NDUFA3;ADRM1;NDUFA2;NDUFA1;TUBB4A;UQCRQ;PSMC1;CYCS;CALM1;CALM2;ACTR10
Pathogenic Escherichia coli infection	44/197	4.38395313567641e-12	7.01432501708225e-11	0	0	3.90298518229956	102.075045681568	ARF1;ROCK1;WIPF1;ARPC5L;FASLG;TNF;ACTB;ACTG1;PYCARD;CDC42;CYTH3;SLC9A3R1;CASP7;CASP8;CYTH4;CASP3;MYO6;CASP4;CASP1;MAPK1;FYN;NCK1;TUBB;F2R;ARPC5;TUBB4A;RHOA;TUBA4A;TNFRSF1A;LPAR5;ARPC2;ARPC3;MYO5B;CYCS;MYH9;ARHGEF1;PTPN6;EZR;GAPDH;SEC24C;MYO1F;ARF6;NFKBIB;MYO1G
T cell receptor signaling pathway	30/104	1.30095817863748e-11	1.88821309656296e-10	0	0	5.46928210074605	137.089387897739	PIK3R3;CBLB;CD3G;PIK3R1;CD3E;TNF;RASGRP1;CD3D;CDC42;PPP3CA;PPP3CC;GRAP2;MAPK1;PAK6;MAP3K8;FYN;NCK1;IL10;MAP2K2;NFATC2;RHOA;PTPRC;CD8B;IFNG;CD8A;LCK;LCP2;PTPN6;PDCD1;NFKBIB
Alzheimer disease	64/369	1.31125909483539e-11	1.88821309656296e-10	0	0	2.86655811163212	71.8286314123591	COX7B;NDUFA12;ATP2A3;COX6A1;TNF;PSMD8;PPP3CA;CASP7;PSMD7;PPP3CC;CASP8;PSMD4;CASP3;CAPN2;COX8A;PSENEN;MAP2K2;TUBB;SDHA;SDHB;TUBA4A;COX6B1;TNFRSF1A;PSMA5;ERN1;PSMA6;PSMA3;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS3;SLC25A5;GAPDH;SLC25A4;NDUFB7;NDUFB10;NDUFB3;PIK3R3;UQCR11;COX7A2;PIK3R1;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;PSMB2;PSMB3;PSMB1;MAPK1;BID;NDUFA6;NDUFA3;ADRM1;NDUFA2;NDUFA1;TUBB4A;UQCRQ;PSMC1;CYCS;CALM1;CALM2
Phagosome	37/152	1.51501021630234e-11	2.07772829664321e-10	0	0	4.35313514545802	108.449716128633	SCARB1;RAB5C;ITGB5;ITGB2;CORO1A;ACTB;ACTG1;FCGR3A;HLA-DMA;FCGR3B;HLA-DMB;LAMP1;SEC61G;HLA-DOA;HLA-DQA1;HLA-DPA1;DYNC1H1;HLA-DRB5;ATP6V0E1;TUBB;HLA-B;HLA-C;TAP1;CYBA;HLA-A;HLA-F;TUBB4A;TUBA4A;HLA-E;HLA-DPB1;HLA-DRA;CALR;ITGA5;FCGR2B;ATP6V0C;HLA-DRB1;HLA-DQB1
Endocytosis	50/252	1.66226968712232e-11	2.17606213586922e-10	0	0	3.36527555194544	83.5269874945418	ARF1;WIPF1;SH3KBP1;ARPC5L;CLTB;CBLB;ARRB2;CAPZB;PSD4;CCR5;VPS36;RAB8A;SH3GLB1;HLA-B;ARAP2;HLA-C;HLA-A;HLA-F;RHOA;TGFBR1;HLA-E;EPN2;TGFBR2;ACAP1;RABEP1;BIN1;VPS28;ARF5;ARF6;RAB5C;AGAP1;CXCR4;ASAP1;VPS26B;CDC42;CYTH3;CYTH4;GRK6;MVB12B;AP2S1;HSPA6;AP2B1;ARPC5;RAB11A;RAB11B;ITCH;ARPC2;ARPC3;CAPZA1;IL2RB
Non-alcoholic fatty liver disease	37/155	2.81031446897457e-11	3.5190024654986e-10	0	0	4.24177358115989	103.054481455111	COX7B;NDUFB7;NDUFB10;NDUFA12;NDUFB3;PIK3R3;COX7A2;FASLG;UQCR11;PIK3R1;UQCR10;COX6A1;COX5B;TNF;COX5A;CDC42;CASP7;CASP8;CASP3;BID;COX8A;NDUFA6;NDUFA3;NDUFA2;NDUFA1;SDHA;SDHB;COX6B1;TNFRSF1A;ERN1;ITCH;NDUFS8;NDUFS7;UQCRQ;NDUFS6;NDUFS3;CYCS
Salmonella infection	49/249	3.60271337244365e-11	4.32325604693238e-10	0	0	3.32885155096012	80.0480568613499	ARF1;ARPC5L;TNF;ACTB;PIK3CG;ACTG1;PYCARD;CASP7;CASP8;CASP3;CASP4;CASP1;HSP90AA1;MAP2K2;ANXA2;TUBB;RHOG;RHOA;TUBA4A;TNFRSF1A;PFN1;GAPDH;ARF6;RAB5C;AHNAK;DCTN2;DCTN3;TXN;MYL12A;MYL12B;CDC42;CYTH3;CYTH4;MYO6;FLNA;MAPK1;S100A10;GSDMD;DYNC1H1;ARPC5;TUBB4A;SNX18;PTPRC;ARPC2;ARPC3;RAB9A;CYCS;DYNLRB1;ACTR10
Chemokine signaling pathway	41/192	1.04125620614536e-10	1.19952714947946e-09	0	0	3.67732493119779	84.5248692549259	CX3CR1;CCL11;ROCK1;CCL4L2;CCL3L3;GNAI3;WAS;PIK3R3;CXCR4;PIK3R1;ARRB2;CXCR6;ADCY7;PIK3CG;GNAI2;RAP1B;CDC42;PREX1;GNGT2;GNG2;GNG5;CCL5;CXCR3;GRK6;CCL4;PLCG2;RAC2;CCL3;MAPK1;PTK2B;CCR5;CCL18;PRKACB;CCR4;XCR1;PRKCB;RHOA;FGR;GNB2;XCL2;NFKBIB
Autoimmune thyroid disease	20/53	1.57116722891748e-10	1.74036985357013e-09	0	0	8.13514757115625	183.643082644615	CD86;IL10;HLA-DRB5;PRF1;HLA-B;HLA-C;GZMB;FASLG;HLA-A;HLA-F;HLA-E;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Platelet activation	31/124	3.2637400500657e-10	3.48132272007008e-09	0	0	4.49562682215743	98.1978738952701	ROCK1;GNAI3;PIK3R3;PIK3R1;RASGRP1;ADCY7;ACTB;ARHGAP35;MYL12A;PIK3CG;ACTG1;MYL12B;GNAI2;RAP1B;PLCG2;MAPK1;FYN;PRKACB;VASP;PPP1R12A;F2R;GP6;RHOA;PPP1CA;VAMP8;GNAS;ORAI1;ARHGEF1;LCP2;TLN1;FERMT3
Regulation of actin cytoskeleton	43/218	5.25305783814716e-10	5.40314520495137e-09	0	0	3.32834453781513	71.1168727954995	ITGB5;ROCK1;ITGB2;ARPC5L;PIK3R3;CXCR4;IQGAP1;PIK3R1;IQGAP2;ITGAL;ACTB;MYL12A;ARHGAP35;MYL12B;ACTG1;CDC42;PDGFD;TMSB4X;CFL1;RAC2;PIP4K2A;PAK6;MAPK1;ITGB7;PDGFRB;MAP2K2;PPP1R12A;F2R;ITGA1;MSN;ACTN4;ARPC5;RHOA;PPP1CA;LPAR5;ARPC2;ARPC3;SPATA13;MYH9;ARHGEF1;ITGA5;EZR;PFN1
Tuberculosis	38/180	7.05922863768957e-10	7.01054430225723e-09	0	0	3.61806737863076	76.238161555483	CIITA;RAB5C;ITGB2;LSP1;TNF;CORO1A;PPP3CA;FCGR3A;HLA-DMA;CASP8;FCGR3B;PPP3CC;HLA-DMB;LAMP1;CASP3;MAPK1;HLA-DOA;BID;CTSD;HLA-DQA1;HLA-DPA1;IL10;CD74;HLA-DRB5;IFNGR1;IL10RA;RHOA;TNFRSF1A;IFNG;HLA-DPB1;CYCS;HLA-DRA;CALM1;FCGR2B;CALM2;ATP6V0C;HLA-DRB1;HLA-DQB1
Leukocyte transendothelial migration	29/114	7.76643909219232e-10	7.45578152850463e-09	0	0	4.59669492251049	96.4204527006966	ROCK1;ITGB2;GNAI3;PIK3R3;CXCR4;PIK3R1;ITGAL;ACTB;ARHGAP35;MYL12A;ACTG1;MYL12B;GNAI2;RAP1B;CDC42;PLCG2;RAC2;PTK2B;CD99;VASP;VCAM1;PRKCB;MSN;CYBA;ACTN4;RHOA;PECAM1;EZR;SIPA1
Yersinia infection	32/137	1.09062751128588e-09	1.01322813951721e-08	0	0	4.11061790142753	84.8288181491867	ROCK1;WIPF1;ARPC5L;WAS;PIK3R3;PIK3R1;TNF;ACTB;ACTG1;PYCARD;CDC42;CASP1;RAC2;MAPK1;PTK2B;IL10;MAP2K2;RHOG;NFATC2;ARPC5;RHOA;CD8B;ARPC2;IRF3;CD8A;ARPC3;LCK;ARHGEF1;LCP2;ITGA5;SKAP2;ARF6
Kaposi sarcoma-associated herpesvirus infection	39/193	1.60900307960852e-09	1.44810277164767e-08	0	0	3.42421544730929	69.3323195140841	CD86;PIK3R3;PIK3R1;PIK3CG;PREX1;PPP3CA;ZFP36;GNGT2;PPP3CC;CASP8;GNG2;UBB;GNG5;CASP3;UBC;PLCG2;MAPK1;E2F3;CCR5;BID;CCR4;GABARAPL2;GABARAPL1;MAP2K2;IFNGR1;HLA-B;HLA-C;NFATC2;HLA-A;HLA-F;HLA-E;TNFRSF1A;CLEC2B;IRF3;GNB2;CYCS;CALM1;CALM2;TLR3
Cell adhesion molecules	33/148	2.14478835525936e-09	1.82921156481901e-08	0	0	3.87119009838147	77.2698252200812	CD86;SELPLG;ITGB2;PTPRM;ITGAL;PTPRF;HLA-DMA;HLA-DMB;ITGB7;CD58;HLA-DOA;TIGIT;CD99;HLA-DQA1;HLA-DPA1;HLA-DRB5;VCAM1;CADM1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;CD2;PTPRC;CD8B;CD8A;PECAM1;HLA-DPB1;HLA-DRA;PDCD1;HLA-DRB1;HLA-DQB1
Diabetic cardiomyopathy	40/203	2.15948587513355e-09	1.82921156481901e-08	0	0	3.31891488011379	66.22362177922	COX7B;NDUFB7;NDUFB10;NDUFA12;NDUFB3;ATP2A3;SLC2A1;PIK3R3;UQCR11;COX7A2;PIK3R1;UQCR10;COX5B;COX6A1;COX5A;RAC2;CTSD;COX8A;G6PD;NDUFA6;PRKCB;NDUFA3;NDUFA2;NDUFA1;CYBA;SDHA;SDHB;TGFBR1;PPP1CA;COX6B1;TGFBR2;NDUFS8;NDUFS7;UQCRQ;NDUFS6;VDAC3;NDUFS3;SLC25A5;GAPDH;SLC25A4
Th17 cell differentiation	27/107	3.58921444095468e-09	2.95341073998557e-08	0	0	4.54177870639535	88.3163969831167	CD3G;CD3E;CD3D;PPP3CA;HLA-DMA;PPP3CC;HLA-DMB;TBX21;MAPK1;HLA-DOA;HLA-DQA1;HLA-DPA1;HLA-DRB5;HSP90AA1;IFNGR1;NFATC2;TGFBR1;TGFBR2;IFNG;LCK;IL2RB;HLA-DPB1;HLA-DRA;IL17D;HLA-DRB1;NFKBIB;HLA-DQB1
Leishmaniasis	22/77	8.38988343699409e-09	6.71190674959527e-08	0	0	5.37060101375815	99.8729811514434	IL10;HLA-DRB5;IFNGR1;PRKCB;ITGB2;CYBA;TNF;FCGR3A;HLA-DMA;FCGR3B;HLA-DMB;IFNG;HLA-DPB1;MAPK1;HLA-DRA;PTPN6;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1;NFKBIB
Toxoplasmosis	27/112	1.042931074278e-08	8.11794998356927e-08	0	0	4.2734610123119	78.5404256624169	CIITA;GNAI3;TNF;PIK3CG;GNAI2;HLA-DMA;CASP8;HLA-DMB;CASP3;MAPK1;HLA-DOA;CCR5;HLA-DQA1;HLA-DPA1;IL10;HLA-DRB5;IFNGR1;IL10RA;HSPA6;TNFRSF1A;IFNG;HLA-DPB1;CYCS;HLA-DRA;HLA-DRB1;NFKBIB;HLA-DQB1
Th1 and Th2 cell differentiation	24/92	1.29698642219441e-08	9.82979183136814e-08	0	0	4.74231113765303	86.123392569272	HLA-DRB5;IFNGR1;NFATC2;CD3G;CD3E;CD3D;RUNX3;PPP3CA;HLA-DMA;PPP3CC;HLA-DMB;IFNG;LCK;TBX21;IL2RB;HLA-DPB1;MAPK1;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1;NFKBIB
