Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Th17 cell differentiation	20/107	1.16518295251619e-10	3.1809494603692e-08	0	0	7.30405802041319	167.065520536193	HLA-DRB5;IL1R1;RORA;GATA3;IL2RG;FOXP3;HLA-DMA;CD4;LCK;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;CD247;IL6R;HLA-DRB1;LAT;HLA-DPA1;JAK1;HLA-DQB1
Cytokine-cytokine receptor interaction	32/295	1.09934490597743e-09	1.50060579665919e-07	0	0	3.90785059270857	80.6132967158208	TNFRSF13B;CSF1;CSF2RB;CXCR6;IL2RG;CCR8;TNFRSF14;CCR6;CCR4;IL6R;TNFRSF4;CCR10;CCR3;IL12RB2;ACVR1;IL32;IFNAR2;IL1R1;CD70;IL1R2;IL10RA;TNFRSF9;TNFRSF18;IL16;TNFRSF1B;CD4;IL7;IL2RA;IL2RB;CD27;FAS;LTB
Antigen processing and presentation	16/78	2.03859267442937e-09	1.85511933373073e-07	0	0	8.15627474790138	163.215263999692	CD74;HSPA8;HLA-DRB5;HLA-A;CTSS;HLA-E;HLA-DMA;CD4;HLA-DPB1;HLA-DRA;B2M;HLA-DRB1;HLA-DPA1;HLA-DQB1;HSPA1A;LGMN
Th1 and Th2 cell differentiation	17/92	3.48299536327416e-09	1.9191090458715e-07	0	0	7.17084153005464	139.654814789569	HLA-DRB5;GATA3;IL2RG;HLA-DMA;CD4;LCK;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;CD247;HLA-DRB1;LAT;HLA-DPA1;JAK1;HLA-DQB1;IL12RB2
Viral myocarditis	14/60	3.51485173236538e-09	1.9191090458715e-07	0	0	9.59564508121143	186.791403523775	HLA-DRB5;HLA-A;ACTB;ACTG1;HLA-E;HLA-DMA;CASP8;CD28;HLA-DPB1;HLA-DRA;RAC1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Type I diabetes mellitus	12/43	5.11539371558412e-09	2.26332362394202e-07	0	0	12.1743509047994	232.420672736076	HLA-DMA;HLA-DRB5;ICA1;CD28;HLA-DPB1;FAS;HLA-DRA;HLA-A;HLA-DRB1;HLA-DPA1;HLA-E;HLA-DQB1
Human T-cell leukemia virus 1 infection	26/219	6.18164027668245e-09	2.26332362394202e-07	0	0	4.29922495322994	81.2625837024201	CRTC3;IL2RG;HLA-DMA;PTTG1;CREB3L2;BUB3;B2M;HLA-DPA1;JAK1;HLA-DRB5;MAP3K1;IL1R1;IL1R2;HLA-A;HLA-E;CD4;LCK;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;BAX;HLA-DRB1;MAD1L1;HLA-DQB1;BCL2L1
Autoimmune thyroid disease	13/53	6.63245018004988e-09	2.26332362394202e-07	0	0	10.2332654723127	192.705605530008	HLA-DRB5;HLA-A;TSHR;HLA-E;HLA-DMA;CD28;HLA-DPB1;CTLA4;FAS;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Allograft rejection	11/38	1.46731575397351e-08	4.45085778705297e-07	0	0	12.7949735449735	230.786085778918	HLA-DMA;HLA-DRB5;CD28;HLA-DPB1;FAS;HLA-DRA;HLA-A;HLA-DRB1;HLA-DPA1;HLA-E;HLA-DQB1
Intestinal immune network for IgA production	12/48	2.01308761964873e-08	5.49572920164102e-07	0	0	10.4807588075881	185.729642865338	HLA-DMA;HLA-DRB5;TNFRSF13B;CD28;HLA-DPB1;HLA-DRA;ICOS;CCR10;ICOSLG;HLA-DRB1;HLA-DPA1;HLA-DQB1
Cell adhesion molecules	20/148	3.99957736335195e-08	9.92622381995529e-07	0	0	4.95392298187809	84.3875616391103	HLA-DRB5;SELPLG;ICAM3;HLA-A;HLA-E;SELP;HLA-DMA;CD4;PTPRC;SELL;CD28;HLA-DPB1;HLA-DRA;CTLA4;ICOS;TIGIT;ICOSLG;HLA-DRB1;HLA-DPA1;HLA-DQB1
Graft-versus-host disease	11/42	4.6570825808162e-08	1.05948628713569e-06	0	0	11.1417050691244	188.097513313087	HLA-DMA;HLA-DRB5;CD28;HLA-DPB1;FAS;HLA-DRA;HLA-A;HLA-DRB1;HLA-DPA1;HLA-E;HLA-DQB1
Tuberculosis	22/180	5.37403493631452e-08	1.12854733662605e-06	0	0	4.42232451093211	74.0257398839089	PLK3;CD74;HLA-DRB5;CAMK2D;ARHGEF12;IL10RA;LSP1;CORO1A;CTSS;MALT1;HLA-DMA;CASP8;BCL2;HLA-DPB1;HLA-DRA;BAX;CALM3;HLA-DRB1;ATP6V0A1;HLA-DPA1;JAK1;HLA-DQB1
Hematopoietic cell lineage	16/99	7.28085370889561e-08	1.41976647323464e-06	0	0	6.08601344822826	100.02626395833	HLA-DRB5;CSF1;IL1R1;IL1R2;FLT3LG;HLA-DMA;CD4;IL7;CD5;IL2RA;HLA-DPB1;HLA-DRA;IL6R;HLA-DRB1;HLA-DPA1;HLA-DQB1
Rheumatoid arthritis	15/93	1.9122388767418e-07	3.48027475567008e-06	0	0	6.06303418803419	93.7940530515988	ATP6V1G1;HLA-DRB5;CSF1;HLA-DMA;CD28;HLA-DPB1;ACP5;CTLA4;HLA-DRA;LTB;ATP6V0E2;HLA-DRB1;HLA-DPA1;HLA-DQB1;ATP6V0A1
Inflammatory bowel disease	12/65	7.15404918758362e-07	1.22065964263146e-05	0	0	7.11274735388863	100.648342030612	HLA-DMA;HLA-DRB5;HLA-DPB1;HLA-DRA;RORA;GATA3;IL2RG;FOXP3;HLA-DRB1;HLA-DPA1;HLA-DQB1;IL12RB2
Shigellosis	24/246	9.46289982079135e-07	1.51963038298591e-05	0	0	3.43346331406033	47.6245972035056	GABARAPL2;ACTR2;IL1R1;ARPC1B;UBE2D2;ACTB;GABARAP;FOXO1;MALT1;ACTG1;RPS6KA5;TNIP1;ARPC3;HKDC1;UBC;BCL2;UBE2N;CASP1;HCLS1;BAX;RAC1;PFN1;SQSTM1;BCL2L1
Phagosome	18/152	1.38307354594604e-06	2.09766154468483e-05	0	0	4.24358503051246	57.2510642432985	ATP6V1G1;HLA-DRB5;NCF4;HLA-A;CORO1A;ACTB;CTSS;ACTG1;HLA-E;HLA-DMA;HLA-DPB1;HLA-DRA;RAC1;ATP6V0E2;HLA-DRB1;ATP6V0A1;HLA-DPA1;HLA-DQB1
Epstein-Barr virus infection	21/202	1.62423257743705e-06	2.33376575600166e-05	0	0	3.67441606039057	48.9817118506777	IFNAR2;ENTPD1;HLA-DRB5;CDKN1B;GADD45A;HLA-A;HLA-E;HLA-DMA;CASP8;HLA-DPB1;BCL2;FAS;HLA-DRA;BAX;RAC1;CD247;B2M;HLA-DRB1;HLA-DPA1;JAK1;HLA-DQB1
Toxoplasmosis	15/112	2.21886616588301e-06	3.02187435074251e-05	0	0	4.87062866383667	63.4083485625743	HSPA8;HLA-DRB5;IL10RA;HLA-DMA;CASP8;BCL2;HLA-DPB1;HLA-DRA;HLA-DRB1;BCL2L1;HLA-DPA1;JAK1;BIRC3;HLA-DQB1;HSPA1A
Apoptosis	17/142	2.32451873134039e-06	3.02187435074251e-05	0	0	4.29135737704918	55.66747732815	GADD45A;CSF2RB;TRAF1;ACTB;CTSS;ACTG1;CASP8;BCL2;PMAIP1;BAX;FAS;SPTAN1;CTSC;MAP3K5;MCL1;BCL2L1;BIRC3
Pathogenic Escherichia coli infection	20/197	4.12322629431419e-06	5.11654899248987e-05	0	0	3.57337652063031	44.3058474490136	ACTR2;ARHGEF12;IL1R1;ARPC1B;MYO5A;BRK1;ACTB;ACTG1;CASP8;ARPC3;MYO5C;ABI1;CASP1;HCLS1;FAS;BAX;TMBIM6;RAC1;PAK2;GAPDH
Measles	16/139	7.6485658157542e-06	9.07851507696042e-05	0	0	4.09830612217742	48.2821132895828	IFNAR2;HSPA8;CDKN1B;IL2RG;CASP8;IL2RA;CSNK2B;IL2RB;BCL2;CD28;BAX;FAS;SLAMF1;BCL2L1;JAK1;HSPA1A
Amyotrophic lateral sclerosis	28/364	1.29188130001418e-05	0.000144030527320842	0	0	2.64844184752365	29.8130488815344	UQCRB;DNAH8;UQCR10;COX5B;COX5A;ACTB;GABARAP;ACTG1;PSMB3;TPR;CASP1;RAC1;MAP3K5;COX8A;GABARAPL2;GPX1;FUS;NDUFA4;ANXA11;NDUFC1;TNFRSF1B;SOD1;BCL2;BAX;HAP1;PFN1;SQSTM1;BCL2L1
Salmonella infection	22/249	1.31896087290149e-05	0.000144030527320842	0	0	3.06704044853825	34.4615156948747	ACTR2;ARPC1B;LEF1;RHOG;RHOH;BRK1;TXN;DYNLL1;ACTB;ACTG1;PTPRC;CASP8;ARPC3;ABI1;BCL2;CASP1;BAX;SNX9;RAC1;PFN1;GAPDH;BIRC3
JAK-STAT signaling pathway	17/162	1.3894312816604e-05	0.000145890284574342	0	0	3.69560203504805	41.3317275441705	IFNAR2;CISH;IL10RA;CSF2RB;STAM;IL2RG;SOCS2;SOCS3;IL7;IL2RA;IL2RB;BCL2;IL6R;MCL1;BCL2L1;JAK1;IL12RB2
Viral protein interaction with cytokine and cytokine receptor	13/100	1.45399745490812e-05	0.000147015298218487	0	0	4.69351155041372	52.2791892285618	CSF1;IL10RA;TNFRSF1B;IL2RG;IL2RA;IL2RB;CCR8;TNFRSF14;CCR6;IL6R;CCR4;CCR10;CCR3
Viral carcinogenesis	19/203	2.27785024215372e-05	0.000222090398609987	0	0	3.25900135869565	34.8377251290061	CDKN1B;YWHAB;HLA-A;TRAF1;YWHAZ;HDAC9;HLA-E;HNRNPK;CASP8;CREB3L2;CCR8;PMAIP1;BAX;RAC1;CCR4;CCR3;MAD1L1;JAK1;YWHAH
Yersinia infection	15/137	2.66912015892674e-05	0.000251265449443793	0	0	3.86752651880424	40.7296046794008	ACTR2;ARHGEF12;ARPC1B;RHOG;ACTB;ACTG1;CD4;ARPC3;LCK;CASP1;PIP5K1B;LCP2;RAC1;LAT;SKAP2
Asthma	7/31	3.92681242019305e-05	0.000357339930237567	0	0	9.10235215053763	92.3442496570413	HLA-DMA;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Influenza A	16/172	0.000106518022652287	0.000938045812389498	0	0	3.22581728146376	29.5071840961594	IFNAR2;HLA-DRB5;ACTB;ACTG1;SOCS3;HLA-DMA;CASP8;CASP1;HLA-DPB1;HLA-DRA;BAX;FAS;HLA-DRB1;HLA-DPA1;JAK1;HLA-DQB1
Bacterial invasion of epithelial cells	10/77	0.000141296576418261	0.00120543641756829	0	0	4.67016618689373	41.3993863429979	ACTR2;ARPC3;ARPC1B;CLTB;RHOG;CLTA;HCLS1;RAC1;ACTB;ACTG1
