Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxidative Phosphorylation	69/200	1.64464044820869e-12	8.22320224104344e-11	0	0	3.1146957226321	84.5125942973336	GPI;SLC25A3;ACADVL;ACAA2;ECI1;ETFA;TCIRG1;MRPL34;COX6A1;COX7C;MRPL35;MPC1;IDH3B;UQCRFS1;PMPCA;ATP6V1E1;COX8A;BCKDHA;ATP6V1G1;ATP6V0B;ATP6V0E1;ATP6AP1;GPX4;ECH1;NDUFC1;ATP1B1;HADHB;HADHA;OXA1L;NDUFS4;UQCRC1;VDAC1;UQCRC2;DLD;ATP6V0C;ISCU;SLC25A6;ECHS1;ABCB7;NDUFB5;COX17;TIMM13;ETFDH;HTRA2;NDUFB1;PDHB;COX5B;COX5A;HSD17B10;UQCRH;TIMM50;PRDX3;RHOT1;CYC1;NDUFV2;ATP6V1D;COX10;DECR1;SURF1;PDHA1;NDUFA6;MDH1;NDUFA4;IDH3G;GOT2;NDUFA2;ALDH6A1;OGDH;BAX
IL-2/STAT5 Signaling	52/199	1.59097250818688e-05	0.000366571306982598	0	0	2.07750993490072	22.953534706874	CYFIP1;PHTF2;CD83;CTSZ;RORA;AHR;IKZF2;IKZF4;CCND2;TNFSF11;CTLA4;TNFRSF8;ITGAV;CCR4;TNFRSF4;PHLDA1;PRKCH;IL4R;GPX4;GSTO1;ANXA4;SWAP70;TNFRSF18;TRAF1;TNFRSF1B;TIAM1;IRF4;MAPKAPK2;PLIN2;LTB;ITIH5;FGL2;COCH;CD79B;SYNGR2;SOCS1;PLAGL1;SNX9;ICOS;RABGAP1L;FAH;HIPK2;BATF;MYO1E;AMACR;SYT11;BHLHE40;IL2RB;BCL2;GALM;IL18R1;F2RL2
IL-6/JAK/STAT3 Signaling	28/87	2.82814798799994e-05	0.000366571306982598	0	0	2.77851745966919	29.1002563260364	EBI3;CSF2RB;CXCL13;IL2RG;CBL;PIK3R5;SOCS1;HMOX1;IL13RA1;PTPN1;IL4R;ITGA4;STAT1;IL10RB;IFNGR2;STAT3;TYK2;TNFRSF1B;IL7;FAS;GRB2;LTB;IL6ST;STAM2;PTPN2;IL18R1;TLR2;CRLF2
Fatty Acid Metabolism	43/158	2.93257045586079e-05	0.000366571306982598	0	0	2.19327817060328	22.8913454597133	ACADVL;ACAA2;ECHS1;ECI1;RAP1GDS1;ETFDH;PDHB;HSD17B7;HSD17B10;PTS;CRYZ;NSDHL;HSPH1;CPT2;AUH;RDH11;IDH3B;HIBCH;DECR1;YWHAH;ADSL;PDHA1;HMGCS1;MDH1;ACSL1;ELOVL5;IDH3G;UROS;ECH1;BCKDHB;G0S2;ACSL4;DHCR24;ALDH3A2;HADHB;ALDH3A1;GPD1;SMS;XIST;ALDOA;DLD;BLVRA;ALDH9A1
Allograft Rejection	50/200	7.90773229079524e-05	0.000790773229079524	0	0	1.9559486645855	18.4741002448851	DYRK3;NCF4;CXCL13;ITGAL;CD3D;ETS1;ICAM1;IL27RA;IKBKB;CCND2;B2M;IFNAR2;SRGN;IL4R;IFNGR2;HLA-A;MMP9;NCR1;IRF4;HCLS1;LCP2;LTB;BCAT1;TLR2;BCL10;THY1;CFP;IL2RG;HDAC9;CD79A;HLA-DMA;SOCS1;HLA-DQA1;CD74;NPM1;STAT1;GALNT1;INHBA;CD4;PTPRC;IL7;ABI1;CD7;IL2RB;CD28;FAS;HLA-DRA;CD247;EIF3D;EIF3A
Myc Targets V1	49/200	0.000157484767322423	0.00131237306102019	0	0	1.90336269529994	16.66618982905	YWHAE;SLC25A3;HNRNPR;PSMD8;SYNCRIP;YWHAQ;SMARCC1;STARD7;RPL22;ILF2;RAD23B;PSMA1;CLNS1A;SRSF3;VDAC1;ERH;MCM6;HDAC2;COX5A;GSPT1;PPM1G;PRDX3;TRA2B;POLD2;EIF4H;CYC1;HNRNPA1;RANBP1;XRCC6;NPM1;HNRNPA3;CBX3;CNBP;GOT2;NAP1L1;DEK;RSL1D1;PSMC4;HNRNPA2B1;SERBP1;POLE3;HNRNPD;UBA2;RNPS1;PRPF31;HDGF;HNRNPC;EIF3D;EIF4G2
Protein Secretion	28/96	0.00019475916380006	0.00139113688428615	0	0	2.4094968107725	20.5861307151946	ARF1;SGMS1;SNAP23;USO1;ICA1;CLTA;CLN5;LMAN1;LAMP2;ARFIP1;AP2M1;SEC31A;ARFGEF2;DST;STX7;GBF1;M6PR;ADAM10;OCRL;STAM;SCAMP3;SOD1;TOM1L1;RER1;RAB14;PPT1;ERGIC3;PAM
mTORC1 Signaling	45/200	0.00191235601309519	0.0119522250818449	0	0	1.70011616477527	10.6417399040603	GPI;TFRC;SHMT2;USO1;FGL2;PIK3R3;SLA;DAPP1;ATP2A2;SLC1A4;GLRX;ENO1;CFP;TBK1;PSMB5;RDH11;PRDX1;FDXR;LTA4H;ATP6V1D;SEC11A;CYB5B;TPI1;HMGCS1;ELOVL5;NFYC;RPA1;M6PR;SORD;PDAP1;CACYBP;DHCR24;ACSL3;SQLE;PFKL;MTHFD2;PSMC4;BHLHE40;ALDOA;EEF1E1;BCAT1;SQSTM1;GAPDH;SKAP2;LGMN
p53 Pathway	44/200	0.00334242955290641	0.0185690530717023	0	0	1.65101046409458	9.41250530060359	CEBPA;HDAC3;CD82;ABHD4;PVT1;DGKA;AK1;CCP110;PDGFA;RPS27L;ABAT;SAT1;ZFP36L1;HINT1;CCND2;SOCS1;ZMAT3;SESN1;MKNK2;FDXR;HMOX1;RALGDS;TP63;ZNF365;PHLDA3;IP6K2;TSPYL2;TSC22D1;GADD45A;VDR;VWA5A;KLF4;PRKAB1;BLCAP;RAD51C;TCN2;MAPKAPK3;NINJ1;FAS;BAX;TAX1BP3;S100A4;ANKRA2;ISCU
Apoptosis	36/161	0.00566741259764251	0.0236985520454081	0	0	1.684258198136	8.71270571877847	BTG3;CDKN1B;LEF1;HSPB1;NEDD9;BCL10;SAT1;CASP9;GNA15;CCND2;CCND1;CASP6;LMNA;FDXR;TIMP2;PMAIP1;HMOX1;TSPO;SPTAN1;BNIP3L;GSTM1;GPX1;GPX4;GADD45A;CAV1;CFLAR;SOD1;CYLD;PPT1;BAX;FAS;CTNNB1;SQSTM1;BCL2L2;DAP3;BIRC3
TNF-alpha Signaling via NF-kB	43/200	0.00568765249089795	0.0236985520454081	0	0	1.602560994424	8.28437124586734	BTG3;NFAT5;CD83;PFKFB3;SDC4;TNFAIP6;IRS2;TANK;SAT1;ICAM1;CCND1;PHLDA2;PHLDA1;DUSP4;KDM6B;TGIF1;TSC22D1;GADD45A;IFNGR2;G0S2;INHBA;TRAF1;CFLAR;ATP2B1;KLF4;GEM;EIF1;NFKB2;NFKBIA;SPSB1;MARCKS;BCL6;TNIP1;NINJ1;BHLHE40;KLF9;TRIP10;TRIB1;IL6ST;SQSTM1;TLR2;NFE2L2;BIRC3
heme Metabolism	43/200	0.00568765249089795	0.0236985520454081	0	0	1.602560994424	8.28437124586734	USP15;TFRC;IGSF3;EPB41;PIGQ;HTRA2;NR3C1;PPOX;BACH1;NUDT4;CCDC28A;SEC14L1;RNF19A;UCP2;LAMP2;TSPAN5;ACP5;PGLS;CLIC2;DCAF11;CDR2;CTSB;HTATIP2;BNIP3L;ARHGEF12;UROS;SLC11A2;NCOA4;ANK1;UBAC1;MYL4;SLC25A38;ALDH6A1;KEL;SLC6A8;MKRN1;CAT;BMP2K;TMCC2;HDGF;LRP10;BLVRA;OSBP2
Adipogenesis	41/200	0.0151868168501597	0.0584108340390757	0	0	1.50758109554007	6.31273584006669	ITIH5;ECHS1;ACAA2;CD151;PFKFB3;COX6A1;TANK;GPHN;AGPAT3;PRDX3;CPT2;DDT;UCP2;UBC;G3BP2;CYC1;MAP4K3;HIBCH;DECR1;COX8A;BCKDHA;JAGN1;GPX4;GADD45A;IDH3G;APLP2;EPHX2;ECH1;FAH;COQ5;SOD1;PPM1B;PFKL;BCL6;CCNG2;CAT;UQCRC1;NABP1;PLIN2;ALDOA;DLD
Androgen Response	23/100	0.0171067166645315	0.061095416659041	0	0	1.74396393984023	7.0949407764849	ABCC4;XRCC6;UBE2I;HMGCS1;TSC22D1;ELOVL5;ACTN1;ABHD2;NCOA4;SORD;ARID5B;DHCR24;ACSL3;SAT1;PIAS1;LMAN1;MAF;CDK6;CCND1;APPBP2;SMS;ITGAV;B2M
Cholesterol Homeostasis	18/74	0.0189174629914463	0.0630582099714876	0	0	1.87575349179123	7.4423705110939	PCYT2;ACSS2;HMGCS1;CHKA;ECH1;HSD17B7;SREBF2;ACTG1;SQLE;NSDHL;ATXN2;FABP5;ETHE1;TP53INP1;CTNNB1;ATF5;FDFT1;LGMN
Wnt-beta Catenin Signaling	11/42	0.0360407229606175	0.11262725925193	0	0	2.06879954074761	6.87483972495174	FZD1;HDAC2;CCND2;WNT5B;MAML1;LEF1;DVL2;NUMB;CTNNB1;CSNK1E;RBPJ
Pperoxisome	22/104	0.0461526305018181	0.126493611688536	0	0	1.56542467176647	4.81493527287831	SMARCC1;CADM1;ACSL1;ELOVL5;EPHX2;CNBP;ECH1;PEX11B;ACSL4;DHCR24;PEX2;BCL10;SOD1;ATXN1;RDH11;SLC25A19;PRDX1;PEX6;CAT;TSPO;YWHAH;ALDH9A1
Reactive Oxygen Species Pathway	12/49	0.0472803432780219	0.126493611688536	0	0	1.89087409902199	5.77030607334848	NQO1;MSRA;ABCC1;NDUFA6;GPX4;PRDX1;CAT;GLRX;LSP1;ATOX1;SOD1;LAMTOR5
Apical Surface	11/44	0.0491174191531932	0.126493611688536	0	0	1.94318959616701	5.85588256463402	PKHD1;IL2RB;AKAP7;HSPB1;FLOT2;ADAM10;MAL;GHRL;THY1;GATA3;IL2RG
PI3K/AKT/mTOR  Signaling	22/105	0.0505974446754145	0.126493611688536	0	0	1.54647307884923	4.6144501983927	VAV3;ARF1;CDKN1B;RALB;CAB39;YWHAB;CAB39L;PTEN;SLA;PIK3R3;DAPP1;IL2RG;TIAM1;TBK1;AKT1S1;MKNK2;THEM4;GRB2;RAC1;PFN1;SQSTM1;AP2M1
Hypoxia	38/200	0.0539761704646638	0.128514691582533	0	0	1.36973069788268	3.99853513584353	GPI;LXN;CDKN1B;PFKFB3;SDC4;ZNF292;IRS2;RORA;GLRX;ENO1;RBPJ;NR3C1;ETS1;CASP6;GCNT2;HMOX1;PGM2;B4GALNT2;BNIP3L;WSB1;TPI1;MAP3K1;SIAH2;CAV1;AMPD3;KLHL24;PFKL;NAGK;LOX;CCNG2;BHLHE40;BCL2;PLIN2;S100A4;ALDOA;PAM;GAPDH;CHST2
E2F Targets	37/200	0.0779552136734942	0.177170940167032	0	0	1.3249669525133	3.38081323650129	CDKN1B;TFRC;CCP110;PSIP1;SMC3;SMC4;IPO7;GSPT1;SYNCRIP;PTTG1;RAD21;TRA2B;POLD2;TMPO;BARD1;HELLS;RANBP1;XRCC6;CBX5;EED;RPA1;NAP1L1;DEK;MLH1;DCK;RAD50;RAD51C;MTHFD2;RPA3;HNRNPD;CKS2;TACC3;CENPM;RAD1;MCM6;EZH2;CDKN3
DNA Repair	28/150	0.103661906684471	0.225351971053197	0	0	1.33873197708868	3.03439744067039	RALA;MPG;GTF2B;CSTF3;NPR2;AK1;COX17;AAAS;NT5C;DGUOK;POLD4;MPC2;POLR2E;DGCR8;POLL;POLR2J;SURF1;GPX4;NME3;EDF1;ZWINT;GTF2H5;DAD1;RPA3;HCLS1;TAF6;SRSF6;EIF1B
Hedgehog Signaling	8/36	0.147524651253397	0.277209837082507	0	0	1.66437118437118	3.18520698119972	TLE3;ADGRG1;CDK6;LDB1;OPHN1;NF1;CRMP1;THY1
Unfolded Protein Response	21/113	0.147690266672486	0.277209837082507	0	0	1.33060723244147	2.54496994376365	TSPYL2;NPM1;IMP3;WFS1;FKBP14;NFYB;POP4;EIF4A3;CEBPG;SLC1A4;PDIA6;YIF1A;SPCS1;MTHFD2;NABP1;BANF1;SEC11A;DCP2;EXOSC1;SEC31A;EIF4G1
Estrogen Response Late	35/200	0.149693312024554	0.277209837082507	0	0	1.23715415019763	2.34956192079087	KCNK5;TSTA3;BTG3;ARL3;ABHD2;NAB2;SLC1A4;ASCL1;CCND1;CDH1;MYB;NRIP1;FLNB;MEST;FDFT1;JAK1;UNC13B;ELOVL5;IGFBP4;WFS1;SIAH2;CAV1;MYOF;SORD;CACNA2D2;DNAJC12;KLF4;PRLR;BATF;ALDH3A2;TIAM1;TSPAN13;FABP5;BCL2;IL6ST
KRAS Signaling Up	35/200	0.149693312024554	0.277209837082507	0	0	1.23715415019763	2.34956192079087	TPH1;CAB39L;USP12;LY96;GLRX;PRDM1;IL2RG;CBL;ETS1;HDAC9;RBM4;CCND2;CD37;SOX9;KCNN4;TSPAN1;EVI5;RABGAP1L;MAP3K1;VWA5A;AMMECR1;G0S2;NAP1L2;PDCD1LG2;INHBA;TRAF1;TNFRSF1B;KLF4;MMP9;GADD45G;WDR33;TSPAN13;TRIB1;ADGRL4;BIRC3
Mitotic Spindle	34/199	0.190680074829418	0.331791590372956	0	0	1.20139232964345	1.99089721801727	YWHAE;RABGAP1;NUMA1;EPB41;NEDD9;KATNB1;SMC3;ARHGAP5;SMC4;FGD4;PCM1;OPHN1;PPP4R2;KIF3B;TLK1;FLNB;SPTAN1;WASF2;CLASP1;RALBP1;ARHGEF12;PLEKHG2;DST;CSNK1D;TIAM1;ARHGAP10;MYO1E;CLIP1;MARCKS;CTTN;ABI1;NF1;EZR;LLGL1
