p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.85362137797776e-200	6.33214994633894	0.188	0.004	2.30925918709583e-195	c35	CXCL10
1.90175569375881e-135	3.59842753972913	0.681	0.09	6.40777563455094e-131	c35	IFIT1
1.34865645248062e-131	3.18493881646545	0.877	0.155	4.54416305098819e-127	c35	CXCL13
1.72729624695948e-125	3.3748140713381	0.942	0.219	5.81995197450529e-121	c35	IFI44L
7.02513973399469e-123	3.5033286328296	0.681	0.101	2.36705058197217e-118	c35	USP18
2.38784207814163e-119	3.31643081061737	0.906	0.212	8.04559509809042e-115	c35	OAS1
5.56626305478611e-111	3.36551503545402	0.645	0.098	1.87549667367963e-106	c35	RSAD2
1.95129405662398e-107	3.22697846005424	0.775	0.156	6.57469019438884e-103	c35	LGALS9
1.41735174131516e-104	3.08452377423183	0.725	0.128	4.77562495718729e-100	c35	OAS3
1.30091773780756e-96	3.17349319991435	0.957	0.349	4.38331222576878e-92	c35	MX1
3.03696810436708e-96	3.20541752733807	0.659	0.115	1.02327603308544e-91	c35	ETV7
4.95568768354864e-91	3.25475430376348	0.594	0.098	1.66976940809488e-86	c35	CMPK2
1.18792635255263e-88	2.76983463719146	0.935	0.344	4.00259905229085e-84	c35	EPSTI1
1.30659565831631e-88	8.03345517690503	0.029	0	4.40244341113097e-84	c35	CCDC85A
2.11466745566411e-87	3.02696955404359	0.732	0.158	7.12516052511466e-83	c35	HERC5
7.13683465330405e-85	3.06324920431382	0.964	0.414	2.40468506808427e-80	c35	ISG15
9.20713777454985e-84	3.00276896464825	0.964	0.392	3.10225300175683e-79	c35	IFI6
1.36360068066443e-82	2.80638485115139	0.754	0.177	4.59451613343073e-78	c35	IFI44
1.40975205718089e-75	2.97546992845484	0.391	0.048	4.7500185814653e-71	c35	IGFL2
1.46853997449629e-73	2.44947824079863	0.884	0.295	4.94809859006779e-69	c35	EIF2AK2
6.53160584273639e-68	2.7376902719931	0.536	0.099	2.2007592726516e-63	c35	CD200
9.97811027195099e-68	2.13270053966823	0.986	0.775	3.36202447503117e-63	c35	LY6E
2.61845599468169e-65	2.60235392226698	0.775	0.237	8.82262562848047e-61	c35	MX2
2.66939531344681e-65	2.20120768151005	0.971	0.586	8.99426056912767e-61	c35	NR3C1
4.61772662541338e-64	1.58975034842856	0.993	0.967	1.55589680916678e-59	c35	IFITM1
7.40163833576999e-63	2.13737342438536	0.964	0.583	2.49390802085434e-58	c35	BST2
1.48415038032882e-61	2.53178716802151	0.746	0.226	5.00069629147992e-57	c35	LAP3
2.51483964863359e-61	2.53643597981035	0.725	0.213	8.47350071210602e-57	c35	PLSCR1
3.48944234999979e-61	2.43073606481943	0.717	0.194	1.17573270540893e-56	c35	ODF3B
6.40820623872656e-59	2.0584434757227	0.949	0.558	2.15918101007653e-54	c35	STAT1
2.31368689524308e-58	2.32494530528358	0.848	0.344	7.79573662483205e-54	c35	IRF7
2.05786920794544e-54	2.5009172257005	0.754	0.267	6.93378450925137e-50	c35	SAMD9
7.20972184365993e-54	3.88402630130245	0.167	0.013	2.42924367800278e-49	c35	IL21-AS1
7.99112781407159e-54	2.80676219920594	0.348	0.052	2.69253060567328e-49	c35	IFIT2
1.71942395551825e-52	2.32772672723927	0.746	0.259	5.79342707572319e-48	c35	SAMD9L
2.94368551911182e-52	2.23725183837467	0.616	0.158	9.91845398809535e-48	c35	DDX58
3.36137536870606e-51	3.03221272642467	0.348	0.055	1.13258181673182e-46	c35	BHLHE40-AS1
1.01120063678268e-50	4.22445731873721	0.138	0.01	3.40713942557555e-46	c35	KIAA1217
2.83267899902931e-50	2.90019929506925	0.391	0.07	9.54442861932937e-46	c35	CHN1
1.82284248945199e-49	2.4160029783034	0.522	0.12	6.14188548395953e-45	c35	GK
8.73272883550318e-48	2.03384181432468	0.833	0.347	2.94240565383444e-43	c35	XAF1
1.60822755837092e-46	2.28192624528339	0.797	0.326	5.41876193517497e-42	c35	TYMP
2.96288130344422e-46	2.61178811546456	0.5	0.12	9.98313226382497e-42	c35	IFIH1
3.37251743700212e-46	2.261922949538	0.746	0.286	1.1363360252235e-41	c35	OASL
6.68599869974793e-46	1.41839181948314	0.746	0.238	2.25278040189307e-41	c35	TNFRSF4
1.58636594604839e-45	2.14970091838988	0.804	0.341	5.34510141861546e-41	c35	DUSP4
2.66930662393898e-45	1.93947219073457	0.754	0.268	8.99396173869999e-41	c35	PDCD1
2.80386305883845e-45	3.01576727360259	0.355	0.063	9.44733619045028e-41	c35	GADD45G
3.30855884558957e-45	7.60224730022409	0.014	0	1.11478581743295e-40	c35	AMOTL2
1.85085081773858e-42	2.47875794369806	0.507	0.133	6.23625674528836e-38	c35	SPATS2L
1.56935464869819e-41	2.08180330132135	0.732	0.297	5.28778355332369e-37	c35	IFI35
1.64971770008956e-41	2.43147046260728	0.529	0.145	5.55855881868176e-37	c35	HSH2D
1.91013487185849e-41	2.46333189924625	0.362	0.07	6.43600843723999e-37	c35	ZC2HC1A
4.91347650121398e-40	2.74257166669174	0.681	0.268	1.65554677231904e-35	c35	TNFSF10
1.522223590359e-39	2.46364116379039	0.464	0.115	5.12898016535561e-35	c35	TNFSF13B
1.58844481420958e-39	1.98802943196353	0.71	0.265	5.35210595699777e-35	c35	ICOS
3.48884043022266e-39	2.94071883653428	0.232	0.032	1.17552989455922e-34	c35	LHFP
4.4606732328528e-39	2.37623916904617	0.493	0.133	1.50297923907742e-34	c35	IFIT5
4.84547293238845e-39	2.06112630111513	0.522	0.138	1.63263364983896e-34	c35	HELZ2
3.40309119323961e-38	2.1366794344238	0.413	0.094	1.14663754665015e-33	c35	NMB
1.17475817888416e-37	2.07924001839276	0.5	0.132	3.9582302079323e-33	c35	LTA
1.42055287117142e-37	2.30201913707605	0.471	0.123	4.78641084412499e-33	c35	CCDC50
2.26885764797695e-37	2.54270102765439	0.435	0.107	7.64468895909355e-33	c35	PNPT1
7.32466129117095e-37	2.09663159927289	0.63	0.225	2.46797137544714e-32	c35	PARP9
2.91432134726958e-36	2.03176031943185	0.507	0.142	9.81951434749013e-32	c35	TOX2
3.73323595986698e-36	2.03087927315934	0.623	0.221	1.25787652431758e-31	c35	OAS2
4.18291937088869e-35	2.02021765173233	0.529	0.157	1.40939285282724e-30	c35	DDX60
1.52086193144578e-34	1.46620874315707	0.884	0.588	5.12439219181341e-30	c35	UBE2L6
1.60270965151128e-34	1.46828330256001	0.928	0.734	5.40016989980212e-30	c35	ISG20
