p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
4.13654667688763e-187	1.36666632374487	0.968	0.506	1.39376803731052e-182	GZMK	c22
1.64529442537657e-67	1.53483904513231	0.337	0.12	5.54365503686382e-63	IFNG-AS1	c22
1.93646715067398e-67	0.317094452286129	1	0.997	6.52473241748091e-63	RPS27	c22
8.13533422954115e-57	0.484397805323599	0.935	0.613	2.74111951530159e-52	CST7	c22
7.74539031202573e-53	0.637600019034061	0.978	0.935	2.60973181173395e-48	TXNIP	c22
6.36883507112182e-48	0.298620773197563	0.997	0.993	2.14591528886379e-43	RPL23A	c22
3.28831307074435e-46	0.261596665608082	0.999	0.995	1.1079642060566e-41	RPS25	c22
7.4017854429185e-40	0.933617080233093	0.52	0.299	2.49395758713696e-35	PASK	c22
6.02555089446521e-37	0.295598612747705	0.999	0.994	2.03024911838111e-32	RPL41	c22
1.06027007300888e-36	0.585687430390103	0.775	0.58	3.57247398399613e-32	GZMM	c22
6.40118584391517e-35	0.27418395258781	0.997	0.99	2.15681555824878e-30	RPS29	c22
1.12685909087487e-33	0.225626079652391	0.999	0.996	3.79683902079378e-29	RPS3	c22
8.7721194020811e-33	0.506968692541388	0.869	0.716	2.95567791133721e-28	GIMAP4	c22
1.24489527574976e-32	0.201323171193267	0.999	0.997	4.19455014211125e-28	RPL28	c22
1.78478540811102e-28	0.383794438641337	0.94	0.856	6.01365595408927e-24	COTL1	c22
4.99261805374293e-28	0.198336587417497	0.999	0.995	1.68221272702814e-23	RPL7A	c22
1.80444477913171e-27	0.674459940836326	0.59	0.402	6.07989623880638e-23	CCR7	c22
6.32583784970692e-27	1.18907271358016	0.309	0.164	2.13142780508025e-22	NINJ2	c22
3.22567463723176e-26	0.175559721631353	1	0.996	1.08685881226887e-21	RPL30	c22
7.93115653838679e-26	0.191337867463996	0.258	0.123	2.67232388404404e-21	IGLV2-14	c22
9.16010040960697e-25	0.79510457036879	0.336	0.179	3.08640423201297e-20	CRTAM	c22
9.38696313783224e-25	0.17823419200321	1	0.997	3.16284335966119e-20	RPL13	c22
