p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	3.82506027975942	0.568	0.062	0	IFIT3	c25
0	3.33121452071965	0.6	0.079	0	IFIT1	c25
0	3.27891421749718	0.575	0.088	0	RSAD2	c25
0	3.04283788531485	0.535	0.088	0	CMPK2	c25
0	2.44577588828531	0.77	0.206	0	IFI44L	c25
1.53888331970683e-304	2.37309856834224	0.894	0.335	5.18511345742019e-300	MX1	c25
4.30521314023106e-303	2.5323028832411	0.768	0.225	1.45059851546945e-298	MX2	c25
1.26712914312576e-302	2.44715475089375	0.738	0.199	4.26946493484793e-298	OAS1	c25
1.51555398183276e-291	3.55083831173293	0.357	0.046	5.10650758638732e-287	IFIT2	c25
3.03079996977625e-274	2.45465602747679	0.89	0.378	1.02119774181641e-269	IFI6	c25
2.08817458754085e-265	2.35174190224328	0.894	0.398	7.03589545526015e-261	ISG15	c25
6.30338825735368e-250	1.35974742698814	0.997	0.963	2.12386363943275e-245	IFITM1	c25
6.50044386880992e-246	2.60232353366023	0.594	0.148	2.19025955715681e-241	HERC5	c25
6.17988359467713e-228	3.35011685217543	0.27	0.033	2.08224997839051e-223	LAMP3	c25
5.74570558117255e-191	1.74252879660077	0.923	0.547	1.93595803852028e-186	STAT1	c25
6.715790426502e-187	2.47968671097466	0.483	0.121	2.26281842630558e-182	OAS3	c25
7.23578737439055e-185	1.76850332444718	0.794	0.336	2.43802619792715e-180	XAF1	c25
1.55398064520691e-184	1.39747256751404	0.967	0.764	5.23598238596017e-180	LY6E	c25
5.17240305282861e-184	2.45962086063467	0.425	0.094	1.74278948462007e-179	USP18	c25
2.41314224429213e-178	1.85292865774372	0.771	0.332	8.13084147791791e-174	IRF7	c25
2.48139406841551e-172	1.89240409110349	0.714	0.285	8.36080917411923e-168	EIF2AK2	c25
2.91715574294714e-172	1.74822892430726	0.778	0.333	9.82906456028611e-168	EPSTI1	c25
1.2213738625117e-154	1.35620782857425	0.962	0.785	4.11529709234692e-150	RPS10	c25
5.71789401817588e-141	1.44121277708883	0.933	0.722	1.92658721048418e-136	ISG20	c25
4.37925384780981e-139	1.97507427432093	0.522	0.169	1.47554579148104e-134	IFI44	c25
4.07200210270315e-137	1.43116897450441	0.833	0.473	1.3720203884848e-132	EEF1G	c25
1.17558571606296e-136	0.839023136878946	0.993	0.98	3.96101851170252e-132	RPL26	c25
1.20511882653763e-134	1.01326413372307	0.996	0.985	4.06052737413589e-130	AC090498.1	c25
9.18919566151978e-129	1.89362181488021	0.683	0.316	3.09620758619247e-124	GBP1	c25
1.45266638100926e-122	1.05320049242022	0.965	0.862	4.89461410417259e-118	RPL17	c25
9.47758334570863e-117	2.05468129165577	0.413	0.126	3.19337693250306e-112	IFIT5	c25
6.4955941068348e-115	1.24034948183629	0.935	0.776	2.18862547835692e-110	FOS	c25
3.59833110825162e-113	1.62899031632155	0.638	0.286	1.2124216836143e-108	IFI35	c25
6.39088003256425e-111	2.22352635226297	0.357	0.1	2.1533431181722e-106	CDKN1A	c25
9.27252875703085e-107	1.35792155914396	0.803	0.504	3.12428583939398e-102	TRIM22	c25
1.18952295009801e-106	1.84714915157445	0.443	0.149	4.00797862806025e-102	LGALS9	c25
5.63844050940126e-105	1.72312696049357	0.532	0.213	1.89981614523766e-100	OAS2	c25
1.74410457861425e-100	1.09356748749997	0.861	0.572	5.87658596718287e-96	BST2	c25
2.33243725908658e-97	-2.67210241149965	0.27	0.63	7.85891410076631e-93	CST7	c25
6.32169829375828e-95	1.77298841305426	0.41	0.139	2.13003302309891e-90	HSH2D	c25
1.3453297758638e-94	1.64278226677891	0.525	0.218	4.53295414679548e-90	PARP9	c25
1.67338982389741e-94	2.03347253459386	0.57	0.259	5.63831967263995e-90	TNFSF10	c25
1.82687328468599e-92	1.44579524195672	0.619	0.3	6.15546684542097e-88	GIMAP1	c25
