Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Amyotrophic lateral sclerosis	174/364	1.89941316539295e-32	6.00214560264173e-30	3.71170463472113	271.10727889942	BAD;ATG13;MAPK13;MAPK14;PSMC6;CCS;NUP98;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;PFN1;OPTN;UQCR10;UQCR11;PSMD9;ACTB;PSMD7;PSMD8;NUP85;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;COX8A;GABARAPL2;GABARAPL1;COX7A2L;ATF6;ATF4;GABARAP;GLE1;TBK1;POM121C;NUP62;SEC13;HAP1;ACTR10;COX7B;ACTR1A;ACTR1B;ATXN2;ATG101;RANBP2;TUBB4B;COX6B1;FIG4;PSMA6;PSMA7;PSMA4;PSMA5;HNRNPA2B1;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;DERL1;NUP188;TUBA1A;COX5B;PSMB7;PSMB5;TUBA1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;ANXA7;RAB8A;RAC1;BID;SDHD;SDHB;SDHC;SDHA;PINK1;UQCRQ;SRSF3;SQSTM1;SRSF7;TARDBP;RAB1A;TANK;COX6A1;KIF5B;NDUFV3;RAE1;NDUFV2;MAP3K5;MAP2K3;TRAF2;EIF2S1;BCL2L1;CHMP2B;RAB5A;VCP;UQCRB;ACTG1;COX7A2;TPR;CYC1;GPX1;NCBP1;WIPI1;NDUFC2;WIPI2;NDUFC1;TNFRSF1A;TNFRSF1B;NUP50;NDUFS8;NDUFS7;NDUFS6;NDUFS4;BCL2;NDUFS3;NUP58;CYCS;NDUFS2;PIK3C3;MCU;PSMD11;PSMD13;NDUFB8;DNAH8;NDUFB7;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;KLC1;CASP9;UQCRFS1;CASP3;CASP1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;ANXA11;SOD1;CAT;DDIT3;VDAC1;NUP37;BECN1;DCTN6;NXT2;DCTN3;DCTN2;DCTN5;RB1CC1;AMBRA1;UBQLN2;UBQLN1;HNRNPA3;SPG11	1	KEGG_2021_Human
Huntington disease	139/306	1.80948420762566e-23	2.85898504804854e-21	3.34823390709018	175.335007308125	POLR2J3;ATG13;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;STX1A;UQCR10;UQCR11;PSMD9;PSMD7;PSMD8;CREB3L2;PSMD3;CREB3L3;PSMD4;NRBF2;PSMD1;AP2S1;PSMD2;COX8A;COX7A2L;RCOR1;HAP1;ACTR10;COX7B;CLTC;CLTB;CLTA;ACTR1A;BBC3;ACTR1B;ATG101;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;AP2A2;AP2A1;TUBA1A;COX5B;PSMB7;PSMB5;TUBA1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;SDHC;SDHA;UQCRQ;PPIF;COX6A1;KIF5B;NDUFV3;NDUFV2;MAP3K5;TRAF2;CREB3;CREB1;UQCRB;COX7A2;CYC1;AP2M1;MAP2K7;GPX1;WIPI1;NDUFC2;WIPI2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;CYCS;NDUFS2;PIK3C3;PSMD11;PSMD13;NDUFB8;DNAH8;NDUFB7;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;KLC1;CASP8;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;SOD1;SOD2;VDAC3;VDAC2;VDAC1;BECN1;DCTN6;DCTN3;DCTN2;HDAC2;DCTN5;RB1CC1;AMBRA1;POLR2A;POLR2C;POLR2E;POLR2I;POLR2J	2	KEGG_2021_Human
Pathways of neurodegeneration	188/475	1.6174967668629e-22	1.70376326109558e-20	2.64812321824517	132.872210201041	BAD;ATG13;PSMC6;CCS;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;OPTN;ARAF;PSMD9;PSMD7;PSMD8;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;GABARAPL2;GABARAPL1;WNT10A;ATF6;ATF4;GABARAP;TBK1;CSNK1A1;HAP1;ATXN2;ATG101;ATXN1;CSNK2A1;TUBB4B;COX6B1;FIG4;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;PSMA1;NDUFA12;NDUFA13;NDUFA10;NDUFA11;TUBA1A;PSMB7;PSMB5;TUBA1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;BID;PINK1;UQCRQ;SQSTM1;TARDBP;RAB1A;CSF1;PARK7;TANK;MAP3K5;MAP2K3;TRAF2;BCL2L1;RAB5A;UQCRB;MAP2K7;GPX1;WIPI1;NDUFC2;WIPI2;NDUFC1;TNFRSF1A;TNFRSF1B;CDK5;BCL2;PIK3C3;MCU;NDUFB8;NDUFB7;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;KLC1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;BECN1;AMBRA1;HSD17B10;BAK1;SPG11;MAPK13;MAPK14;CALM2;CALM3;STX1A;UQCR10;UQCR11;UBE2L6;UBE2L3;COX8A;CSNK1E;COX7A2L;CSNK2B;UBE2J1;ACTR10;COX7B;ACTR1A;ACTR1B;FADD;NDUFAB1;COX5A;RYR1;CTNNB1;DERL1;COX5B;RAB8A;RAC1;SDHD;SDHB;SDHC;SDHA;FAS;PPIF;PPID;RAF1;COX6A1;KIF5B;CAPN1;CAPN2;NDUFV3;NDUFV2;PRNP;EIF2S1;CHMP2B;UBA1;VCP;HTRA2;PSEN1;COX7A2;UBC;UBB;CYC1;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;CYCS;NDUFS2;PSMD11;GSK3B;PSMD13;DNAH8;PSMD14;UBA7;CASP8;CASP9;CASP7;UQCRFS1;CASP3;SOD1;CAT;DDIT3;VDAC3;VDAC2;VDAC1;CAMK2D;DCTN6;DCTN3;DCTN2;DCTN5;RB1CC1	3	KEGG_2021_Human
Parkinson disease	118/249	5.27162875175087e-22	4.16458671388318e-20	3.61242210525908	176.988932853989	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;CALM2;CALM3;UQCR10;UQCR11;UBE2L6;UBE2L3;PSMD9;PSMD7;PSMD8;PSMD3;PSMD4;PSMD1;PSMD2;COX8A;COX7A2L;ATF6;ATF4;TXN;UBE2J1;COX7B;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;TUBA1A;COX5B;GNAI2;PSMB7;PSMB5;TUBA1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;SDHC;SDHA;PINK1;UQCRQ;PPIF;PARK7;COX6A1;KIF5B;NDUFV3;NDUFV2;MAP3K5;EIF2S1;BCL2L1;UBA1;TXN2;UQCRB;HTRA2;COX7A2;UBC;UBB;CYC1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;ADORA2A;NDUFS4;NDUFS3;CYCS;NDUFS2;NFE2L2;MCU;PSMD11;PSMD13;NDUFB8;NDUFB7;PSMD14;UBA7;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;KLC1;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;DDIT3;VDAC3;VDAC2;VDAC1;CAMK2D	4	KEGG_2021_Human
Epstein-Barr virus infection	102/202	8.59526879826503e-22	5.4322098805035e-20	4.08206164729661	198.003094908698	ENTPD1;MAPK13;MAPK14;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;BAX;PSMC1;PSMD7;PSMD8;PSMD3;PSMD4;PSMD1;AKT2;E2F3;PSMD2;HES1;B2M;HLA-DRB5;GADD45B;GADD45A;GADD45G;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;SNW1;HLA-DRB1;ICAM1;TBK1;TYK2;HLA-DQB1;CD40;CD3D;FADD;HLA-DQA1;STAT1;STAT2;STAT3;DDB2;NEDD4;HLA-DPB1;CDKN1B;CDKN1A;IKBKB;HLA-DPA1;RAC1;CD58;IKBKG;JAK3;BID;HLA-DMA;IKBKE;JAK1;TAP1;FAS;RELB;CCND2;MAP2K4;MAP2K3;DDX58;TRAF3;ISG15;TRAF2;NFKB2;MYD88;TAB2;MAP3K14;IFNAR1;IFNAR2;MDM2;MAP2K7;EIF2AK2;IRAK4;OAS1;NFKBIB;CDK6;OAS2;OAS3;HLA-DRA;BCL2;IRF9;CYCS;IRF7;CD247;NFKBIE;PSMD11;PSMD13;PSMD14;TNFAIP3;PIK3R3;CASP8;CASP9;CASP3;CHUK;ADRM1;HDAC2;POLK;BAK1	5	KEGG_2021_Human
Proteasome	39/46	9.83960731593924e-21	5.18219318639466e-19	22.0764912779337	1017.01695562544	ADRM1;PSMB9;PSMA6;PSMA7;PSMA4;PSMC6;PSMA5;PSMA2;PSMC4;PSMA3;PSMC5;PSMC2;PSME4;PSMA1;PSMC3;PSME2;PSMC1;PSME3;PSMD11;PSMD13;POMP;PSMD14;PSMB10;PSMB7;PSMD9;PSMB8;PSMB5;PSMD7;PSMB6;PSMD8;PSMB3;PSMB4;PSMB1;PSMD3;PSMB2;PSMD4;PSMD1;PSMD2;PSMF1	6	KEGG_2021_Human
Prion disease	120/273	5.08389904222808e-19	2.2950172819201e-17	3.14262964068876	132.377108628505	BAD;MAPK13;MAPK14;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;ATF2;UQCR10;UQCR11;PSMD9;PSMD7;PSMD8;CREB3L2;PSMD3;CREB3L3;PSMD4;PSMD1;PSMD2;COX8A;PRKCD;COX7A2L;CSNK2B;ATF4;COX7B;STIP1;CSNK2A1;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;RYR1;NDUFA12;NDUFA13;NDUFA10;NDUFA11;TUBA1A;COX5B;PSMB7;PSMB5;TUBA1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;RAC1;SDHD;SDHB;SDHC;SDHA;UQCRQ;PPIF;ATF6B;COX6A1;KIF5B;NDUFV3;NDUFV2;PRNP;CYBA;EIF2S1;CREB3;CREB1;NCF2;UQCRB;NCF4;COX7A2;CYC1;HSPA8;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;CYCS;NDUFS2;MCU;PSMD11;GSK3B;PSMD13;NDUFB8;NDUFB7;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;PIK3R3;KLC2;KLC1;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;SOD1;DDIT3;VDAC3;VDAC2;VDAC1	7	KEGG_2021_Human
Endocytosis	113/252	8.50480785115727e-19	3.35939910120712e-17	3.25447612520574	135.41382147377	PML;VPS25;VPS29;VPS28;ARPC5L;IL2RG;PARD6G;RAB11FIP1;AP2S1;RAB11FIP4;PRKCI;HLA-C;HLA-A;SNF8;STAM;VPS37B;HLA-B;ARFGAP2;HLA-E;ARFGAP3;EHD1;HLA-F;EHD4;PRKCZ;TFRC;ACTR3C;VPS26A;PIP5K1A;PIP5K1B;RHOA;RAB7A;ARF4;ARPC1A;ARF5;RAB5C;ARF3;ARF1;ARPC1B;CLTC;CLTB;CLTA;SNX4;SNX5;SNX2;SNX3;SNX1;EPS15;CCR5;SNX6;GBF1;RAB11A;RAB11B;NEDD4;ARF6;AP2A2;AP2A1;SNX12;RAB22A;ZFYVE27;RAB8A;USP8;SH3GLB1;IST1;RNF41;ACAP2;CAPZA2;RAB35;CAPZA1;CHMP4B;STAMBP;CHMP4A;STAM2;KIF5B;IGF2R;VTA1;PDCD6IP;HGS;ARPC3;ARPC4;ARPC2;CHMP2B;CHMP3;CHMP2A;CHMP7;RAB5A;RAB5B;CHMP5;MDM2;TSG101;SH3KBP1;CHMP1B;CHMP1A;AP2M1;ACTR3;ACTR2;HSPA8;ARAP3;ARAP1;EPN1;VPS4A;VPS4B;GRK5;CAPZB;CDC42;SMAP1;RAB10;IL2RA;IL2RB;SMAP2;SPG21;VPS36;VPS35;CYTH2	8	KEGG_2021_Human
Alzheimer disease	144/369	6.50568102043424e-17	2.28421689161913e-15	2.56833503575077	95.725110577833	BAD;ATG13;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;CALM2;CALM3;UQCR10;ARAF;UQCR11;PSMD9;PSMD7;PSMD8;PSMD3;PSMD4;NRBF2;PSMD1;AKT2;PSMD2;NCSTN;COX8A;WNT10A;CSNK1E;COX7A2L;CSNK2B;ATF6;ATF4;PSENEN;CSNK1A1;COX7B;ATG101;FADD;CSNK2A1;ADAM10;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;CTNNB1;NDUFA10;NDUFA11;TUBA1A;COX5B;PSMB7;IKBKB;PSMB5;TUBA1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;BID;SDHD;SDHB;SDHC;SDHA;FAS;UQCRQ;PPIF;PPID;RAF1;CSF1;COX6A1;KIF5B;CAPN1;CAPN2;NDUFV3;NDUFV2;MAP3K5;TRAF2;EIF2S1;UQCRB;PSEN1;COX7A2;CYC1;MAP2K7;EIF2AK2;WIPI1;NDUFC2;WIPI2;NDUFC1;TNFRSF1A;NDUFS8;CDK5;NDUFS7;NDUFS6;NDUFS4;NDUFS3;CYCS;NDUFS2;PIK3C3;MCU;PSMD11;RTN3;GSK3B;PSMD13;NDUFB8;NDUFB7;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;PIK3R3;KLC2;KLC1;CASP8;CASP9;CASP7;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;CHUK;ADRM1;NDUFA4;NDUFA2;NDUFA1;DDIT3;VDAC3;VDAC2;VDAC1;GAPDH;BECN1;RB1CC1;AMBRA1;HSD17B10	9	KEGG_2021_Human
Non-alcoholic fatty liver disease	76/155	1.08443115091813e-15	3.42680243690128e-14	3.82999084947384	131.972755473665	SDHD;PRKAB1;SDHB;SDHC;MAPK13;MAPK14;SDHA;FAS;UQCRQ;UQCRC2;BAX;UQCRC1;UQCR10;UQCR11;COX6A1;AKT2;NDUFV3;NDUFV2;MAP3K5;COX8A;TRAF2;COX7A2L;EIF2S1;ATF4;UQCRB;COX7A2;LEPR;CYC1;IL6R;NDUFC2;NDUFC1;TNFRSF1A;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;CYCS;NDUFS2;GSK3B;COX7B;NDUFB8;NDUFB7;NDUFB5;NDUFB4;NDUFB3;NDUFB1;PIK3R3;SOCS3;CASP8;CASP7;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NR1H3;NDUFA2;NDUFA1;COX6B1;CDC42;NDUFAB1;DDIT3;CEBPA;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;PRKAG1;COX5B;IKBKB;RAC1;BID	10	KEGG_2021_Human
