seurat_clusters	Sample	.n	.frac
c1	BC09_TUMOR1	402	0.0587375803623612
c1	BC09_TUMOR2	392	0.0586299730780736
c1	BC10_TUMOR1	218	0.0456448911222781
c1	BC11_TUMOR1	172	0.0334240186552662
c1	BC11_TUMOR2	147	0.0331603879990977
c2	BC09_TUMOR1	214	0.0312682641729982
c2	BC09_TUMOR2	222	0.0332037092431947
c2	BC10_TUMOR1	237	0.0496231155778894
c2	BC11_TUMOR1	340	0.0660707345511077
c2	BC11_TUMOR2	278	0.0627114820663208
c3	BC09_TUMOR1	335	0.048947983635301
c3	BC09_TUMOR2	357	0.0533951540532456
c3	BC10_TUMOR1	278	0.0582077051926298
c3	BC11_TUMOR1	176	0.034201321414691
c3	BC11_TUMOR2	143	0.032258064516129
c4	BC09_TUMOR1	281	0.0410578609000584
c4	BC09_TUMOR2	291	0.0435237810349985
c4	BC10_TUMOR1	315	0.0659547738693467
c4	BC11_TUMOR1	187	0.0363389040031092
c4	BC11_TUMOR2	172	0.0387999097676517
c5	BC09_TUMOR1	224	0.032729398012858
c5	BC09_TUMOR2	225	0.0336524080167514
c5	BC10_TUMOR1	220	0.0460636515912898
c5	BC11_TUMOR1	262	0.0509133307423241
c5	BC11_TUMOR2	212	0.0478231445973381
c6	BC09_TUMOR1	326	0.0476329631794272
c6	BC09_TUMOR2	316	0.0472629374813042
c6	BC10_TUMOR1	181	0.0378978224455611
c6	BC11_TUMOR1	166	0.032258064516129
c6	BC11_TUMOR2	137	0.0309045792916761
c7	BC09_TUMOR1	238	0.0347749853886616
c7	BC09_TUMOR2	256	0.0382889620101705
c7	BC10_TUMOR1	163	0.0341289782244556
c7	BC11_TUMOR1	234	0.0454722114263506
c7	BC11_TUMOR2	211	0.047597563726596
c8	BC09_TUMOR1	349	0.0509935710111046
c8	BC09_TUMOR2	326	0.0487586000598265
c8	BC10_TUMOR1	192	0.0402010050251256
c8	BC11_TUMOR1	125	0.0242907112320249
c8	BC11_TUMOR2	85	0.0191743740130837
c9	BC09_TUMOR1	426	0.0622443015780245
c9	BC09_TUMOR2	410	0.0613221657194137
c9	BC10_TUMOR1	116	0.0242881072026801
c9	BC11_TUMOR1	67	0.0130198212203653
c9	BC11_TUMOR2	52	0.0117302052785924
c10	BC09_TUMOR1	343	0.0501168907071888
c10	BC09_TUMOR2	324	0.048459467544122
c10	BC10_TUMOR1	183	0.0383165829145729
c10	BC11_TUMOR1	113	0.0219588029537505
c10	BC11_TUMOR2	92	0.0207534401082788
c11	BC09_TUMOR1	91	0.0132963179427236
c11	BC09_TUMOR2	97	0.0145079270116662
c11	BC10_TUMOR1	173	0.0362227805695142
c11	BC11_TUMOR1	348	0.0676253400699573
c11	BC11_TUMOR2	306	0.0690277464471013
c12	BC09_TUMOR1	398	0.0581531268264173
c12	BC09_TUMOR2	354	0.0529464552796889
c12	BC10_TUMOR1	131	0.027428810720268
c12	BC11_TUMOR1	49	0.00952195880295375
c12	BC11_TUMOR2	41	0.0092488157004286
c13	BC09_TUMOR1	20	0.00292226767971946
c13	BC09_TUMOR2	27	0.00403828896201017
c13	BC10_TUMOR1	120	0.0251256281407035
c13	BC11_TUMOR1	403	0.0783132530120482
c13	BC11_TUMOR2	342	0.0771486577938191
c14	BC09_TUMOR1	248	0.0362361192285213
c14	BC09_TUMOR2	275	0.0411307209093628
c14	BC10_TUMOR1	157	0.0328726968174204
c14	BC11_TUMOR1	116	0.0225417800233191
c14	BC11_TUMOR2	104	0.0234604105571848
c15	BC09_TUMOR1	174	0.0254237288135593
c15	BC09_TUMOR2	166	0.0248279988034699
c15	BC10_TUMOR1	139	0.0291038525963149
c15	BC11_TUMOR1	212	0.0411970462495142
c15	BC11_TUMOR2	207	0.0466952402436273
c16	BC09_TUMOR1	302	0.0441262419637639
c16	BC09_TUMOR2	279	0.0417289859407718
c16	BC10_TUMOR1	151	0.0316164154103853
c16	BC11_TUMOR1	60	0.0116595413913719
c16	BC11_TUMOR2	50	0.0112790435371081
c17	BC09_TUMOR1	48	0.00701344243132671
c17	BC09_TUMOR2	29	0.00433742147771463
c17	BC10_TUMOR1	47	0.00984087102177554
c17	BC11_TUMOR1	351	0.0682083171395258
c17	BC11_TUMOR2	320	0.0721858786374915
c18	BC09_TUMOR1	230	0.0336060783167738
c18	BC09_TUMOR2	224	0.0335028417588992
c18	BC10_TUMOR1	189	0.039572864321608
c18	BC11_TUMOR1	81	0.0157403808783521
c18	BC11_TUMOR2	60	0.0135348522445297
c19	BC09_TUMOR1	106	0.0154880187025132
c19	BC09_TUMOR2	93	0.0139096619802573
c19	BC10_TUMOR1	137	0.0286850921273032
c19	BC11_TUMOR1	241	0.046832491255344
c19	BC11_TUMOR2	202	0.0455673358899165
c20	BC09_TUMOR1	305	0.0445645821157218
c20	BC09_TUMOR2	298	0.0445707448399641
c20	BC10_TUMOR1	125	0.0261725293132328
c20	BC11_TUMOR1	14	0.00272055965798679
c20	BC11_TUMOR2	11	0.00248138957816377
c21	BC09_TUMOR1	243	0.0355055523085915
c21	BC09_TUMOR2	268	0.0400837571043972
c21	BC10_TUMOR1	109	0.022822445561139
c21	BC11_TUMOR1	67	0.0130198212203653
c21	BC11_TUMOR2	62	0.013986013986014
c22	BC09_TUMOR1	225	0.0328755113968439
c22	BC09_TUMOR2	228	0.0341011067903081
c22	BC10_TUMOR1	88	0.0184254606365159
c22	BC11_TUMOR1	108	0.0209871745044695
c22	BC11_TUMOR2	86	0.0193999548838259
c23	BC09_TUMOR1	34	0.00496785505552309
c23	BC09_TUMOR2	48	0.00717918037690697
c23	BC10_TUMOR1	23	0.00481574539363484
c23	BC11_TUMOR1	329	0.0639331519626895
c23	BC11_TUMOR2	292	0.065869614256711
c24	BC09_TUMOR1	24	0.00350672121566335
c24	BC09_TUMOR2	23	0.00344002393060126
c24	BC10_TUMOR1	273	0.0571608040201005
c24	BC11_TUMOR1	200	0.0388651379712398
c24	BC11_TUMOR2	151	0.0340627114820663
c25	BC09_TUMOR1	280	0.0409117475160725
c25	BC09_TUMOR2	271	0.0405324558779539
c25	BC10_TUMOR1	41	0.00858458961474037
c25	BC11_TUMOR1	29	0.00563544500582977
c25	BC11_TUMOR2	31	0.00699300699300699
c26	BC09_TUMOR1	213	0.0311221507890123
c26	BC09_TUMOR2	201	0.0300628178282979
c26	BC10_TUMOR1	61	0.0127721943048576
c26	BC11_TUMOR1	60	0.0116595413913719
c26	BC11_TUMOR2	33	0.00744416873449132
c27	BC09_TUMOR1	211	0.0308299240210403
c27	BC09_TUMOR2	170	0.0254262638348789
c27	BC10_TUMOR1	118	0.0247068676716918
c27	BC11_TUMOR1	22	0.00427516517683638
c27	BC11_TUMOR2	17	0.00383487480261674
c28	BC09_TUMOR1	118	0.0172413793103448
c28	BC09_TUMOR2	106	0.0158540233323362
c28	BC10_TUMOR1	101	0.0211474036850921
c28	BC11_TUMOR1	103	0.0200155460551885
c28	BC11_TUMOR2	103	0.0232348296864426
c29	BC09_TUMOR1	43	0.00628287551139684
c29	BC09_TUMOR2	40	0.00598265031408914
c29	BC10_TUMOR1	79	0.0165410385259631
c29	BC11_TUMOR1	146	0.0283715507190051
c29	BC11_TUMOR2	140	0.0315813219039026
c30	BC09_TUMOR1	68	0.00993571011104617
c30	BC09_TUMOR2	58	0.00867484295542926
c30	BC10_TUMOR1	133	0.0278475711892797
c30	BC11_TUMOR1	85	0.0165176836377769
c30	BC11_TUMOR2	81	0.018272050530115
c31	BC09_TUMOR1	137	0.0200175336060783
c31	BC09_TUMOR2	137	0.0204905773257553
c31	BC10_TUMOR1	50	0.0104690117252931
c31	BC11_TUMOR1	40	0.00777302759424796
c31	BC11_TUMOR2	39	0.00879765395894428
c32	BC09_TUMOR1	142	0.0207481005260082
c32	BC09_TUMOR2	110	0.0164522883637451
c32	BC10_TUMOR1	51	0.010678391959799
c32	BC11_TUMOR1	28	0.00544111931597357
c32	BC11_TUMOR2	25	0.00563952176855403
c33	BC09_TUMOR1	28	0.00409117475160725
c33	BC09_TUMOR2	34	0.00508525276697577
c33	BC10_TUMOR1	70	0.0146566164154104
c33	BC11_TUMOR1	93	0.0180722891566265
c33	BC11_TUMOR2	95	0.0214301827205053
c34	BC09_TUMOR1	14	0.00204558737580362
c34	BC09_TUMOR2	28	0.0041878552198624
c34	BC10_TUMOR1	103	0.0215661641541039
c34	BC11_TUMOR1	48	0.00932763311309755
c34	BC11_TUMOR2	50	0.0112790435371081
c35	BC09_TUMOR1	4	0.000584453535943892
c35	BC09_TUMOR2	3	0.000448698773556686
c35	BC10_TUMOR1	4	0.000837520938023451
c35	BC11_TUMOR1	71	0.0137971239797901
c35	BC11_TUMOR2	56	0.012632528761561
